預購專案,群眾募資,音樂,攝影,出版,時尚,設計,表演,藝術,科技,教育,遊戲,飲食,空間,社會,插畫漫畫,電影動畫,地方創生,挺好店,新春賀喜,money,success,image,video,sponsor_num,target,duration,comment_num,QA_num,website,yt,fb,ig,set_num,set_price,time_expected,fb讚
0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1045108,success,50,1,390,800000,56.49930555555556,0,3.0,0,0,0,0,8,"[748, 1600, 2500, 3600, 6000, 12000, 50000, 300]",148.5,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,890945,success,35,1,819,100000,47.49930555555556,3,8.0,1,1,1,1,7,"[1600, 850, 1000, 780, 1520, 1398, 750]",59.5,33376
0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,487304,success,63,0,505,200000,54.583333333333336,2,14.0,1,0,1,1,12,"[880, 1379, 499, 980, 1700, 1599, 2999, 8000, 4999, 6999, 799, 850]",59.5,1775
0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1064451,success,57,1,865,100000,51.625,0,17.0,1,0,1,0,4,"[1290, 2500, 4800, 1190]",60.541666666666664,42527
0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,273620,success,56,1,99,100000,60.208333333333336,3,,0,0,1,1,4,"[2680, 4980, 2680, 2480]",61.125,296
0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2112246,success,53,1,476,100000,60.168055555555554,15,7.0,1,0,0,0,17,"[4888, 3500, 2600, 1999, 6720, 6000, 3600, 4320, 2352, 1171, 1950, 1750, 968, 1250, 658, 378, 975]",33.166666666666664,0
0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1100242,success,64,2,613,50000,63.49930555555556,3,5.0,0,0,0,0,14,"[799, 1249, 599, 1538, 3600, 19470, 35940, 799, 1249, 1538, 35940, 699, 749, 1199]",65.5,0
0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,109015,success,70,1,81,100000,56.0,0,9.0,0,1,1,1,7,"[1040, 2120, 2640, 3500, 1928, 9080, 1600]",97.11041666666667,103
0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1999224,success,58,1,2233,100000,56.25,18,15.0,0,0,1,0,6,"[1220, 650, 3420, 5400, 580, 1100]",66.16666666666667,605
0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2417453,success,58,9,764,100000,63.49930555555556,6,15.0,0,0,1,0,10,"[3090, 3790, 3190, 3890, 799, 1399, 2990, 3690, 2990, 3690]",97.5,7451
0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2678249,success,42,5,882,200000,64.12430555555555,5,15.0,1,0,1,1,15,"[7990, 3490, 2990, 990, 699, 290, 9990, 4490, 3990, 3490, 2990, 2490, 2490, 2490, 3990]",126.125,1441
0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9872228,success,53,2,6316,200000,68.12430555555555,71,10.0,1,0,1,0,13,"[1260, 840, 2460, 1560, 4780, 3080, 7500, 14400, 35000, 50000, 1200, 790, 770]",41.125,66210
0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,278140,success,42,1,79,120000,72.49930555555555,1,22.0,0,1,1,0,8,"[1800, 3600, 4800, 4200, 5840, 9600, 990, 200]",345.5,2503
0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149500,success,41,1,25,100000,72.49930555555555,1,6.0,1,0,1,0,8,"[4980, 7880, 2980, 4980, 7880, 2980, 15200, 86000]",72.5,973
0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3350366,success,28,9,1585,100000,61.49930555555556,35,6.0,1,0,1,1,7,"[2289, 4174, 60, 19710, 120, 2087, 2174]",103.5,1098
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187343,success,38,1,190,180000,61.54097222222222,0,,0,0,1,0,14,"[680, 580, 1100, 2750, 1280, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 1480, 16000]",103.54166666666667,1223
0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,272569,success,37,3,154,100000,62.56180555555556,0,12.0,1,1,1,0,5,"[1932, 980, 4250, 1080, 1280]",104.5625,281
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,403911,success,42,2,291,100000,70.12430555555555,1,11.0,0,0,1,1,13,"[1099, 1449, 1574, 1924, 4875, 8990, 1099, 1449, 1924, 999, 899, 4875, 8990]",78.125,307
0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1959040,success,77,3,118,450000,77.12430555555555,0,15.0,1,0,1,1,12,"[17600, 14200, 4500, 590, 450, 850, 4200, 18500, 14900, 17600, 14200, 450]",169.125,70941
0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12329427,success,82,3,10516,100000,91.20833333333333,75,13.0,0,0,1,1,21,"[749, 1450, 4020, 9750, 31500, 179, 689, 1358, 1378, 689, 1358, 1378, 749, 1450, 4020, 9750, 31500, 179, 669, 1260, 1378]",130.125,3849
0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3812796,success,74,1,2831,100000,108.12430555555555,44,8.0,0,0,1,0,10,"[790, 1540, 3000, 7200, 14000, 189, 770, 1500, 790, 1540]",88.125,2122
0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,31160,success,19,1,34,100000,16.520138888888887,0,6.0,1,0,1,0,5,"[749, 799, 1360, 1800, 2800]",0,3495
0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,32908,success,34,1,51,50000,26.165972222222223,0,2.0,0,1,1,1,4,"[743, 842, 1544, 2930]",28.166666666666668,44
0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,765,failure,19,1,1,200000,30.499305555555555,0,5.0,0,0,0,0,5,"[495, 765, 1076, 4000, 7500]",30.5,0
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,failure,12,1,0,100000,28.165972222222223,0,,1,0,1,1,3,"[790, 1490, 6990]",1.1666666666666667,141
0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33600,failure,67,7,1,100000,32.49375,0,9.0,1,1,1,1,3,"[33600, 35000, 42000]",32.49444444444445,535
0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,30660,success,27,1,41,100000,30.229166666666668,0,4.0,1,0,0,0,2,"[999, 520]",36.145833333333336,0
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27280,failure,30,0,16,200000,30.999305555555555,0,10.0,1,0,1,0,7,"[480, 660, 720, 780, 1280, 1300, 2400]",37.0,177
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,failure,8,1,0,5000,37.12430555555556,0,3.0,1,1,1,1,3,"[1680, 2480, 3280]",37.125,15490
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71770,success,33,8,17,100000,38.49930555555556,0,6.0,0,0,0,0,5,"[980, 999, 1950, 3900, 8990]",38.5,0
0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,25930,success,18,2,23,80000,41.49930555555556,0,2.0,0,0,1,1,6,"[500, 900, 2500, 500, 900, 2500]",41.5,269
0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,67540,success,16,2,17,100000,43.49930555555556,0,,1,1,1,1,3,"[1980, 2980, 3980]",43.5,13987
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20555,success,25,1,9,50000,50.99930555555556,0,,0,0,0,0,9,"[100, 300, 500, 1500, 1500, 2000, 3000, 3000, 3500]",141.0,0
0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,46077,success,32,2,29,80000,50.31180555555556,0,,0,0,1,0,5,"[699, 1099, 1599, 2990, 1890]",53.3125,5323
0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7640,failure,26,4,20,100000,54.208333333333336,0,4.0,1,0,1,0,9,"[200, 420, 2740, 5480, 1900, 3800, 3840, 370, 390]",60.125,3776
0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,35690,success,46,2,15,50000,60.58263888888889,0,,0,0,0,0,3,"[2590, 3600, 5180]",60.583333333333336,0
0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,failure,25,5,0,30000,49.99930555555556,0,1.0,1,0,1,1,2,"[990, 1250]",30.0,10200
0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32400,success,14,2,20,50000,56.12430555555556,0,6.0,0,0,0,1,5,"[200, 500, 1000, 3000, 10000]",61.125,0
0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5520,failure,39,1,8,30000,51.16597222222222,0,11.0,0,0,1,1,12,"[100, 200, 400, 860, 1660, 2060, 3060, 100, 200, 260, 460, 1060]",93.16666666666667,219
0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11372,failure,38,0,15,60000,59.16597222222222,0,5.0,1,1,1,0,5,"[599, 759, 880, 1350, 1400]",94.16666666666667,2376
0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,24600,failure,29,2,29,250000,56.49930555555556,0,10.0,1,0,1,1,5,"[3900, 2150, 1110, 390, 450]",98.5,39
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10658,failure,37,1,6,250000,61.20763888888889,0,,0,0,0,1,12,"[2500, 1500, 1200, 1500, 1000, 800, 500, 300, 100, 30000, 100000, 300000]",129.20833333333334,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3000,failure,21,1,1,3060000,81.99930555555555,0,,0,0,0,0,5,"[3000, 2400, 1500, 1200, 1000]",142.0,0
